cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
6094,-66.8,6.2,69,987.3,0.804866483,0.556479549,0.880254313,425285.5151,0.902209633,6,0.5,1.32804172
6095,-65.8,6.2,69,1007.8,0.798790789,0.56477893,0.890546652,431192.2584,0.902778632,6,0.509661836,1.35629191
6096,-64.8,6.2,69,1007.8,0.798790789,0.56477893,0.890546652,431192.2584,0.902778632,6,0.509661836,1.35629191
6097,-63.8,6.2,66,984.4,0.790047716,0.564205529,0.912820543,429014.5197,0.916234393,6,0.505050505,1.35711153
6098,-62.8,6.2,66,984.4,0.790047716,0.564205529,0.912820543,429014.5197,0.916234393,6,0.505050505,1.35711153
6099,-61.8,6.2,69,979.4,0.808749,0.572317324,0.861594978,425488.373,0.895696056,6,0.519323671,1.38027615
6100,-60.8,6.2,72,996,0.814786412,0.569658464,0.838624458,425488.373,0.883436472,6,0.518518519,1.37628581
6101,-59.8,6.2,69,975.5,0.812809342,0.575170372,0.854391336,425488.373,0.907374402,6,0.524154589,1.38201761
6102,-58.8,6.2,66,963.1,0.802255686,0.577941758,0.871704326,425488.373,0.920618148,6,0.525252525,1.38590327
6103,-57.8,6.2,67,969,0.805634405,0.57554207,0.883388294,425488.373,0.917394344,6,0.519900498,1.37952528
6104,-56.8,6.2,68,979.2,0.802538193,0.562042728,0.871455495,425488.373,0.914036754,6,0.5,1.34633982
6105,-55.8,6.2,63,943.2,0.792644529,0.570806593,0.918726102,425488.373,0.936090662,6,0.515873016,1.36383073
6106,-54.8,6.2,63,933.6,0.798941799,0.571753173,0.918119717,425488.373,0.938695568,6,0.515873016,1.36383073
6107,-53.8,6.2,61,906.4,0.801032552,0.560248975,0.946642676,425488.373,0.951016979,6,0.494535519,1.32739037
6108,-52.8,6.2,59,883.7,0.797546012,0.562512027,0.937022909,425488.373,0.983944905,6,0.5,1.33980987
6109,-51.8,6.2,58,873.8,0.797334462,0.565387094,0.947312669,425488.373,0.98877703,6,0.505747126,1.34718436
6167,-77.8,5.2,63,942,0.779238485,0.571142713,0.863410523,389884.2035,0.987716815,6,0.537037037,1.42233417
6168,-76.8,5.2,70,1011.7,0.784516506,0.5562948,0.853103083,412724.3463,0.939643932,6,0.50952381,1.36948912
6169,-75.8,5.2,76,1067.3,0.79420945,0.559914613,0.818383724,405249.3905,0.910358667,6,0.530701754,1.39577242
6170,-74.8,5.2,73,1038.5,0.800571477,0.573975248,0.85553304,405249.3905,0.922818187,6,0.550228311,1.43281065
6171,-73.8,5.2,76,1090.2,0.796200624,0.573559359,0.83387732,405249.3905,0.891253045,6,0.539473684,1.42237287
6172,-72.8,5.2,75,1053.4,0.804962509,0.547696162,0.854984516,391809.0533,0.880194329,6,0.495555556,1.3398388
6173,-71.8,5.2,67,971.9,0.7960199,0.54860296,0.88880039,384065.7914,0.92371498,6,0.504975124,1.34660993
6174,-70.8,5.2,67,962.7,0.798644813,0.544560151,0.901529973,423137.6085,0.923937838,6,0.490049751,1.32938621
6175,-69.8,5.2,60,890.5,0.805146558,0.559616651,0.958179288,423137.6085,0.983757001,6,0.511111111,1.37594629
6176,-68.8,5.2,57,836.6,0.80525957,0.548603103,0.959911509,423137.6085,1.005398768,6,0.488304094,1.32294255
6177,-67.8,5.2,67,954.9,0.801483381,0.549446484,0.88904008,425285.5151,0.914607361,6,0.495024876,1.30421736
6178,-66.8,5.2,67,960.8,0.799682569,0.547398719,0.893196296,425285.5151,0.912833074,6,0.485074627,1.29039515
6179,-65.8,5.2,68,971.6,0.806718393,0.555692307,0.886541126,425285.5151,0.908977451,6,0.5,1.33245084
6180,-64.8,5.2,69,978.1,0.807593136,0.55549628,0.875080473,425285.5151,0.906628732,6,0.504830918,1.33900653
6181,-63.8,5.2,67,956.6,0.804657693,0.554975633,0.888222213,423137.6085,0.917204601,6,0.5,1.33658901
